101,simgle,free,1,0
102,double,free,1,0
103,single,in use,1,3
104,single,free,1,0
105,single,free,1,0
106,studio,free,0,0
107,studio,free,0,0
108,double,free,1,0
109,double,free,1,0
201,single,free,1,0
202,single,free,1,0
203,studio,free,0,0
204,studio,free,1,0
205,double,free,1,19
206,double,free,1,20
207,double,free,0,0
208,double,free,0,0
209,double,free,0,0
301,studio,free,1,26
302,studio,free,1,23
303,studio,free,1,22
304,studio,free,1,23
305,single,free,1,21
306,single,free,1,100001
307,single,free,1,0
308,single,free,1,0
309,double,free,1,0
401,double,free,1,25
402,double,free,0,0
403,double,free,0,0
404,double,free,0,0
405,studio,free,0,0
406,studio,free,0,0
407,studio,free,0,0
408,single,free,1,0
409,single,free,1,0
